Month,Day,Year,FID,Site,Species,AC,AgeCap,Anu1,Anu2,Anu3,Anu4,Anu5,Anu6,Anu7,Anu8,Anu9,RadCap,LenCap,WTg,SEXCON,Sex,Prey Item,Tot Prey WTg,Prey Item B,Prey WT Ag,Prey WT Bg,Comments
7,7,2016,123,14,317,3,2,0.5385,0.7449,0.7822,NA,NA,NA,NA,NA,NA,0.7822,288,437,8,2,0,0,0,0,0,
7,11,2016,124,15,317,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,136,1,1,999,0,0,0,0,
7,11,2016,125,15,317,3,2,0.3761,0.5797,0.6268,NA,NA,NA,NA,NA,NA,0.6268,296,440,8,2,999,0,0,0,0,
7,11,2016,126,15,317,3,2,0.3506,0.492,0.5214,NA,NA,NA,NA,NA,NA,0.5214,269,303,3,1,0,0,0,0,0,
7,11,2016,127,15,317,3,2,0.279,0.4378,0.4725,NA,NA,NA,NA,NA,NA,0.4725,283,348,8,2,196,5,0,0,0,
7,11,2016,128,15,317,3,5,0.3684,0.536,0.679,0.7876,0.8783,0.9132,NA,NA,NA,0.9132,376,859,3,1,999,0,0,0,0,
7,11,2016,129,15,317,3,4,0.3724,0.5492,0.648,0.7255,0.7793,NA,NA,NA,NA,0.7793,362,739,3,1,0,0,0,0,0,
7,11,2016,130,15,317,3,2,0.3996,0.622,0.6614,NA,NA,NA,NA,NA,NA,0.6614,266,305,8,2,999,1,0,0,0,
7,11,2016,131,15,317,3,2,0.4204,0.6701,0.7121,NA,NA,NA,NA,NA,NA,0.7121,261,282,3,1,999,1,0,0,0,
8,17,2016,132,15972,317,3,7,0.4232,0.7063,0.81,0.8912,0.9567,1.0119,1.0365,1.0474,NA,1.0474,395,971,3,1,999,24.5,301,19.5,5,
